Food,URL,ExtractedPrice,PricePerAmount,ExtractedProteinPer100g,ExtractedKJPer100g,ProteinPer100g,KJPer100g,CaloriesPer100g,ProteinPer100Calorie,PoundsPer (String),PoundsPer,PerAmount,PoundsPer100g,Price,MultiplesOf100g,perEach/per100g,TotalCalories,TotalProtein,RankWeighting,TimesEaten,PoundsPer1000Calorie,Checked,Available,Ignore
Quorn Vegetarian Emmental Escalopes x2 220g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/quorn-emmental-escalope-220g,ï¿½3.00,ï¿½13.64 / kg,12g,948kJ/227kcal,12,948,226.5774379,5.296202532,ï¿½13.64 ,13.64, kg,1.364,3,2.19941349,,498.3374733,26.39296188,,,6.020016878,,,
Squeaky Bean Fishless Fingers 216g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/squeaky-bean-fishless-fingers-216g,ï¿½2.50,ï¿½11.57 / kg,13g,1029kJ / 245kcal,13,1029,245.9369025,5.285908649,ï¿½11.57 ,11.57, kg,1.157,2.5,2.160760588,,531.410766,28.08988764,,,4.704458698,,,
Baxters Plant Based Butternut Squash and Lentil Dhansak 380g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/baxters-plant-based-butternut-squash-and-lentil-dhansak-380g,ï¿½1.60,42p / 100g,2.4g,190kJ/45kcal,2.4,190,45.41108987,5.285052632,42p ,0.42, 100g,0.42,1.6,3.80952381,,172.9946281,9.142857143,,,9.248842105,,,
Burgen Sprouted Grains Oat & Quinoa 575g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/burgen-sprouted-grains-oat-quinoa-575g,ï¿½1.50,26p / 100g,11.9g,943kJ,11.9,943,225.3824092,5.279915164,26p ,0.26, 100g,0.26,1.5,5.769230769,,1300.28313,68.65384615,,,1.15359491,,,
Alpro Strawberry Yoghurt Alternative 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alpro-strawberry-big-pot-yogurt-alternative-500g,ï¿½1.75,35p / 100g,3.6 g,286 kJ / 68 kcal,3.6,286,68.35564054,5.266573427,35p ,0.35, 100g,0.35,1.75,5,,341.7782027,18,,,5.12027972,,,
St Helen's Farm Goat's Milk Natural Yogurt 450g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/st-helens-farm-natural-goats-milk-yogurt-450g,ï¿½2.40,53p / 100g,5.5g,437kJ,5.5,437,104.4455067,5.26590389,53p ,0.53, 100g,0.53,2.4,4.528301887,,472.960785,24.90566038,,,5.074416476,,,
Brave Roasted Chickpeas Sea Salt 35g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/brave-roasted-chickpeas-sea-salt-35g,80p,ï¿½2.29 / 100g,20.4,1623,20.4,1623,387.9063098,5.259001848,ï¿½2.29 ,2.29, 100g,2.29,0.8,0.349344978,,135.5131213,7.126637555,,,5.903487369,,,
BOL Sri Lankan Sambar Veg Pot 345g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bol-sri-lankan-sambar-veg-pot-345g,ï¿½2.75,ï¿½7.97 / kg,4.6g,366,4.6,366,87.47609943,5.258579235,ï¿½7.97 ,7.97, kg,0.797,2.75,3.450439147,,301.8309579,15.87202008,,,9.111060109,,,
Sainsbury's Stew Mix 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-stew-mix-500g,ï¿½1.15,ï¿½2.30 / kg,6.0g,478kJ,6,478,114.2447419,5.251882845,ï¿½2.30 ,2.3, kg,0.23,1.15,5,,571.2237094,30,,,2.013221757,,,
Alpro Soya Vanilla Long Life Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alpro-long-life-soya-milk-alternative--vanilla-1l,ï¿½1.50,ï¿½1.50 / ltr,3.0 g,240 kJ / 57 kcal,3,240,57.36137667,5.23,ï¿½1.50 ,1.5, ltr,0.15,1.5,10,,573.6137667,30,,,2.615,,,
Encona West Indian Extra Hot Pepper Sauce 142ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/enconawestindian-extrahot-peppersce142ml,ï¿½1.50,ï¿½1.06 / 100ml,1.3g,104kJ/25kcal,1.3,104,24.85659656,5.23,ï¿½1.06 ,1.06, 100ml,1.06,1.5,1.41509434,,35.17442909,1.839622642,,,42.64461538,,,
Baxters Plant Based Jackfruit Three Bean and Chipotle Chilli 380g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/baxters-plant-based-jackfruit-three-bean-and-chipotle-chilli-380g,ï¿½1.60,42p / 100g,2.8g,224kJ/53kcal,2.8,224,53.5372849,5.23,42p ,0.42, 100g,0.42,1.6,3.80952381,,203.9515615,10.66666667,,,7.845,,,
Good Earth Hibiscus Rose & Sweet Berries Tea Bags x 15 39g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/good-earth-rose-sweet-berries-tb-15s-39g,ï¿½2.75,ï¿½7.05 / 100g,0.1g,8kJ/2kcal,0.1,8,1.912045889,5.23,ï¿½7.05 ,7.05, 100g,7.05,2.75,0.390070922,,0.745833503,0.039007092,,,3687.15,,,
BOL Power Pot Piri Piri Sweet Potato & Coconut 450g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bol-power-pot-piri-piri-sweet-potato-coconut-450g,ï¿½3.00,ï¿½6.67 / kg,4.4g,353,4.4,353,84.36902486,5.215184136,ï¿½6.67 ,6.67, kg,0.667,3,4.497751124,,379.4708764,19.79010495,,,7.905745042,,,
GOOD4U Protein Salad Topper Super Seeds 150g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/good4u-protein-salad-topper-super-seeds-150g,ï¿½1.50,94p / 100g,30g,2407kJ,30,2407,575.2868069,5.214790195,94p ,0.94, 100g,0.94,1.5,1.595744681,,918.0108621,47.87234043,,,1.633967595,,,
Plant Pioneers Cumberland Shroomdogs x6 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneer-cumberland-shroomdogs-300g,ï¿½2.25,ï¿½7.50 / kg,7.6g,610kJ,7.6,610,145.793499,5.212852459,ï¿½7.50 ,7.5, kg,0.75,2.25,3,,437.3804971,22.8,,,5.144262295,,,
Brave Roasted Chickpeas Sweet Chilli 35g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/brave-roasted-chickpeas-sweet-chilli-35g,80p,ï¿½2.29 / 100g,20,1607,20,1607,384.082218,5.207218419,ï¿½2.29 ,2.29, 100g,2.29,0.8,0.349344978,,134.1771941,6.986899563,,,5.96226509,,,
itsu Vegetable Fusion Gyoza Dinner Dumplings x20 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/itsu-vegetable-fusion-gyoza-dinner-dumplings-x20-300g,ï¿½3.75,ï¿½12.50 / kg,9.3,748,9.3,748,178.7762906,5.202032086,ï¿½12.50 ,12.5, kg,1.25,3.75,3,,536.3288719,27.9,,,6.99197861,,,
Hubbard's Foodstore Baked Beans In Tomato Sauce 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-baked-beans-in-tomato-sauce--basics-420g,21p,53p / kg,4.2g,338kJ,4.2,338,80.78393882,5.199053254,53p ,0.53, kg,0.053,0.21,3.962264151,,320.0873047,16.64150943,,,0.656071006,,,
TREK Peanut Power Protein Energy Bar 55g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/trek-peanut-power-protein-energy-bar-55g-7745579-p,90p,ï¿½1.64 / 100g,19.4g,1564kJ,19.4,1564,373.8049713,5.189872123,ï¿½1.64 ,1.64, 100g,1.64,0.9,0.548780488,,205.1368745,10.64634146,,,4.387314578,,,
Sainsbury's Wheatberries & Kale Grains 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-wheatberries---kale-grains-300g,ï¿½2.00,ï¿½6.67 / kg,6.6g,535kJ,6.6,535,127.8680688,5.161570093,ï¿½6.67 ,6.67, kg,0.667,2,2.99850075,,383.4125003,19.79010495,,,5.216314019,,,
Jamie Oliver Smoky Veggie Chilli 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/jamie-oliver-smoky-veggie-chilli-250g,ï¿½2.30,ï¿½9.20 / kg,4.6g,373kJ/89kcal,4.6,373,89.14913958,5.159892761,ï¿½9.20 ,9.2, kg,0.92,2.3,2.5,,222.872849,11.5,,,10.31978552,,,
Heinz Baked Beans Curry 390g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/heinz-baked-beanz--curry-390g,80p,ï¿½2.05 / kg,4.8g,390kJ,4.8,390,93.21223709,5.149538461,ï¿½2.05 ,2.05, kg,0.205,0.8,3.902439024,,363.7550716,18.73170732,,,2.199282051,,,
Sainsbury's Bread Sauce Mix 40g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-bread-sauce-mix-40g,40p,ï¿½1.00 / 100g,4.9g,402kJ,4.9,402,96.08030593,5.099900497,ï¿½1.00 ,1, 100g,1,0.4,0.4,,38.43212237,1.96,,,10.4079602,,,
Tofoo Co Crispy Original Chunkies 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/tofoo-co-crispy-original-chunkies-200g,ï¿½2.25,ï¿½11.25 / kg,12.2g,1001kJ,12.2,1001,239.2447419,5.099380619,ï¿½11.25 ,11.25, kg,1.125,2.25,2,,478.4894838,24.4,,,4.702297702,,,
Burgen Sprouted Grains Soya & Linseed 575g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/burgen-sprouted-grains-soya-linseed-575g,ï¿½1.50,26p / 100g,13.3g,1093kJ,13.3,1093,261.2332696,5.091235133,26p ,0.26, 100g,0.26,1.5,5.769230769,,1507.115017,76.73076923,,,0.995279048,,,
Meridian Crunchy Peanut Butter 280g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/meridian-crunchy-peanut-butter-280g,ï¿½2.80,ï¿½1.00 / 100g,30,2470,30,2470,590.3441683,5.081781376,ï¿½1.00 ,1, 100g,1,2.8,2.8,,1652.963671,84,,,1.693927125,,,
Meridian Smooth Peanut Butter 280g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/meridian-smooth-peanut-butter-280g,ï¿½2.80,ï¿½1.00 / 100g,30,2470,30,2470,590.3441683,5.081781376,ï¿½1.00 ,1, 100g,1,2.8,2.8,,1652.963671,84,,,1.693927125,,,
Sainsbury's Love Your Veg! Falafels with Chickpeas Coriander & Cumin 10x180g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-love-your-veg%21-falafels-with-chickpeas-coriander-cumin-10x180g,ï¿½1.75,ï¿½9.72 / kg,13.1g,1082kJ,13.1,1082,258.6042065,5.065656192,ï¿½9.72 ,9.72, kg,0.972,1.75,1.800411523,,465.5939932,23.58539095,,,3.758639556,,,
Sainsbury's Thick Sliced Wholemeal Bread 800g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-thick-sliced-wholemeal-bread-800g,55p,7p / 100g,11.9g,986kJ,11.9,986,235.6596558,5.049655172,7p ,0.07, 100g,0.07,0.55,7.857142857,,1851.611582,93.5,,,0.29703854,,,
Sainsbury's Medium Sliced Wholemeal Bread 800g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-wholemeal-bread--medium-sliced-800g,55p,7p / 100g,11.9g,986kJ,11.9,986,235.6596558,5.049655172,7p ,0.07, 100g,0.07,0.55,7.857142857,,1851.611582,93.5,,,0.29703854,,,
Alpro Soya Chocolate Long Life Drink 3x250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alpro-long-life-soya-milk-alternative--chocolate-3x250ml,ï¿½1.60,ï¿½2.13 / ltr,3.1 g,257 kJ / 61 kcal,3.1,257,61.42447419,5.046848249,ï¿½2.13 ,2.13, ltr,0.213,1.6,7.511737089,,461.4045009,23.28638498,,,3.467673152,,,
Kingsmill No Crusts Medium Sliced Wholemeal Bread 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kingsmill-tasty-wholemeal-no-crusts-400g,ï¿½1.40,35p / 100g,10.4 g,866 kJ,10.4,866,206.9789675,5.024665127,35p ,0.35, 100g,0.35,1.4,4,,827.91587,41.6,,,1.690993072,,,
Sainsbury's Wholemeal Bread Medium 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-standard-wholemeal-medium-400g,50p,13p / 100g,11.9g,993kJ,11.9,993,237.332696,5.014058409,13p ,0.13, 100g,0.13,0.5,3.846153846,,912.8180615,45.76923077,,,0.54775428,,,
Meridian Crunchy Peanut Butter 1kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/meridian-crunchy-peanut-butter-1kg,ï¿½6.50,65p / 100g,29.6,2470,29.6,2470,590.3441683,5.014024291,65p ,0.65, 100g,0.65,6.5,10,,5903.441683,296,,,1.101052632,,,
Meridian Smooth Peanut Butter 1kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/meridian-smooth-peanut-butter-1kg,ï¿½6.50,65p / 100g,29.6,2470,29.6,2470,590.3441683,5.014024291,65p ,0.65, 100g,0.65,6.5,10,,5903.441683,296,,,1.101052632,,,
Huel Chocolate Flavour Ready-to-Drink Complete Meal 500ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/huel-chocolate-flavour-ready-to-drink-complete-meal-500ml,ï¿½3.00,ï¿½6.00 / ltr,4,336kJ,4,336,80.30592734,4.980952381,ï¿½6.00 ,6, ltr,0.6,3,5,,401.5296367,20,,,7.471428571,,,
Huel Berry Ready to Drink Complete Meal 500ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/huel-rtd-berry-500ml,ï¿½3.00,ï¿½6.00 / ltr,4,336kJ,4,336,80.30592734,4.980952381,ï¿½6.00 ,6, ltr,0.6,3,5,,401.5296367,20,,,7.471428571,,,
Plantopia Creamy Blend Almond & Pea Dark Free Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plantopia-creamy-blend-almond-pea-1l,ï¿½1.50,ï¿½1.50 / ltr,2.0g,168 kJ,2,168,40.15296367,4.980952381,ï¿½1.50 ,1.5, ltr,0.15,4,26.66666667,,1070.745698,53.33333333,,,3.735714286,,,
Plant Pioneers Chorizo Shroomdogs x8 280g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-love-your-veg%21-chorizo-style-shroomdogs-280g,ï¿½2.50,ï¿½8.93 / kg,6.0g,661kJ,6,661,157.9827916,3.797881997,ï¿½8.93 ,8.93, kg,0.893,2.5,2.799552072,1,442.2810515,16.79731243,3,1,5.652514372,,,
Sainsbury's Sweetcorn & Peas in Water 198g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sweetcorn-with-peas-198g,50p,31p / 100g,3.4g,287kJ,3.4,287,68.59464627,4.956655052,31p ,0.31, 100g,0.31,0.5,1.612903226,,110.6365262,5.483870968,,,4.519303136,,,
Hubbardï¿½s Foodstore Peeled Plum Tomatoes 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-peeled-plum-tomatoes--basics-400g,28p,7p / 100g,1.1g,93kJ,1.1,93,22.22753346,4.948817204,7p ,0.07, 100g,0.07,0.28,4,,88.91013384,4.4,,,3.149247312,,,
Sainsbury's Summer Edition Mozzarella Pearls with Pesto 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-summer-edition-mozzarella-pearls-with-pesto-160g,ï¿½3.00,ï¿½1.88 / 100g,12.9g,1096kJ,12.9,1096,261.9502868,4.92459854,ï¿½1.88 ,1.88, 100g,1.88,3,1.595744681,,418.0057768,20.58510638,,,7.176934306,,,
Plant Pioneers Caramelised Onion Shroomdogs x6 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plntpnr-caramelised-onion-shroomdog-300g,ï¿½2.50,ï¿½8.33 / kg,7.0g,596kJ,7,596,142.4474187,4.91409396,ï¿½8.33 ,8.33, kg,0.833,2.5,3.00120048,,427.5132615,21.00840336,,,5.847771812,,,
Marmite Oven Baked Peanuts 190g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/marmite-oven-baked-peanuts-190g,ï¿½2.50,ï¿½1.32 / 100g,28g,2402kJ/,28,2402,574.0917782,4.877268943,ï¿½1.32 ,1.32, 100g,1.32,2.5,1.893939394,,1087.295034,53.03030303,,,2.29928393,,,
Hovis Nimble Medium Sliced Wholemeal Bread 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/hovis-nimble-wholemeal-bread-400g,85p,21p / 100g,11.1g,953kJ,11.1,953,227.7724665,4.873284365,21p ,0.21, 100g,0.21,0.85,4.047619048,,921.9361741,44.92857143,,,0.921972718,,,
Merchant Gourmet Spicy Cajun-Style Lentils & Red Kidney Beans 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/merchant-gourmet-spicy-cajun-style-lentils-red-kidney-beans-250g,ï¿½1.75,ï¿½7.00 / kg,5.7g,490/117,5.7,490,117.1128107,4.867102041,ï¿½7.00 ,7, kg,0.7,1.75,2.5,,292.7820268,14.25,,,5.977142857,,,
Kingsmill 50-50 No Bits Multi-Seed 750g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kingsmill-50-50-no-bits-multi-seed-750g,ï¿½1.00,13p / 100g,13.3 g,1147 kJ / 270 kcal,13.3,1147,274.1395794,4.851543156,13p ,0.13, 100g,0.13,1,7.692307692,,2108.765995,102.3076923,,,0.474210985,,,
Tideford Organics Pea Coconut & Turmeric Soup 600g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/tideford-organics-pea-coconut-turmeric-soup-600g,ï¿½2.75,46p / 100g,1.6,138,1.6,138,32.98279159,4.851014493,46p ,0.46, 100g,0.46,2.75,5.97826087,,197.1797323,9.565217391,,,13.94666667,,,
Sainsbury's Scotch Bonnet & Habanero Pepper Sauce 145g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-scotch-bonnet-habanero-pepper-sauce-145g,ï¿½1.00,69p / 100g,1.1g,95kJ,1.1,95,22.70554493,4.844631579,69p ,0.69, 100g,0.69,1,1.449275362,,32.90658686,1.594202899,,,30.38905263,,,
Sainsbury's Sweetened Strawberry Soya Yoghurt Alternative 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sweetened-strawberry-soya-yoghurt-alternative-400g,ï¿½1.15,29p / 100g,3.3g,285kJ,3.3,285,68.1166348,4.844631579,29p ,0.29, 100g,0.29,1.15,3.965517241,,270.1176897,13.0862069,,,4.257403509,,,
Sainsbury's Indian Tadka Daal 300g (Serves 2),https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-indian-tadka-daal-300g-serves-2-,ï¿½2.00,ï¿½6.67 / kg,5.3g,458kJ,5.3,458,109.4646272,4.841746725,ï¿½6.67 ,6.67, kg,0.667,2,2.99850075,,328.2297666,15.89205397,,,6.093292576,,,
Merchant Gourmet Tomatoey French Puy & Green Lentils 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/merchant-gourmet-puy-lentils--sun-dried-tomatoes---basil-250g,ï¿½1.75,70p / 100g,6.3g,545 / 130,6.3,545,130.2581262,4.836550459,70p ,0.7, 100g,0.7,1.75,2.5,,325.6453155,15.75,,,5.373944954,,,
Plant Pioneers Meat Free Chicken Style Nuggets 320g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-vegetarian-chicken-nuggets-320g,ï¿½1.75,ï¿½5.47 / kg,12.2g,1057kJ,12.2,1057,252.6290631,4.829214759,ï¿½5.47 ,5.47, kg,0.547,1.75,3.199268739,,808.228264,39.03107861,,,2.165229896,,,
Cholula Original Hot Sauce 150ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/cholula-chipotle-hot-sauce-150ml,ï¿½1.20,80p / 100ml,0.9g,78 kJ,0.9,78,18.64244742,4.827692308,80p ,0.8,100ml,0.8,2.75,3.4375,,64.083413,3.09375,,,42.91282051,,,
Birds Eye Garden Mix Steamfresh x4 540g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/birds-eye-steamfresh-classic-garden-mix-540g,ï¿½1.75,ï¿½3.24 / kg,2.2g,191kJ,2.2,191,45.6500956,4.819267016,ï¿½3.24 ,3.24, kg,0.324,1.75,5.401234568,,246.5668744,11.88271605,,,7.097465969,,,
Alpro Soya Chocolate Chilled Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alpro-chilled-chocolate-soya-milk-alternative-drink-1l,ï¿½1.20,ï¿½1.20 / ltr,3.3 g,287 kJ / 68 kcal,3.3,287,68.59464627,4.81087108,ï¿½1.20 ,1.2, ltr,0.12,1.2,10,,685.9464627,33,,,1.749407665,,,
Sainsbury's Brown Linseed 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-brown-linseed-100g,90p,ï¿½9.00 / kg,23.7g,2064kJ,23.7,2064,493.3078394,4.804302326,ï¿½9.00 ,9, kg,0.9,0.9,1,,493.3078394,23.7,,,1.824418605,,,
Sainsbury's Tomato Puree Double Concentrate 142g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tomato-puree-142g,30p,ï¿½2.11 / kg,4.3g,375kJ,4.3,375,89.62715105,4.797653333,ï¿½2.11 ,2.11, kg,0.211,0.3,1.421800948,,127.4319683,6.113744076,,,2.354197333,,,
Sainsbury's Salted Peanuts 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-salted-peanuts-200g,ï¿½1.00,50p / 100g,30.5g,2667kJ,30.5,2667,637.4282983,4.784851893,50p ,0.5, 100g,0.5,1,2,,1274.856597,61,,,0.78440195,,,
Sainsbury's Love Your Veg! Red Pepper & Chipotle Falafels x8 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-love-your-veg%21-red-pepper-chipotle-falafels-x8-160g,ï¿½1.75,ï¿½10.94 / kg,10.5g,919kJ,10.5,919,219.6462715,4.780413493,ï¿½10.94 ,10.94, kg,1.094,1.75,1.599634369,,351.353725,16.79616088,,,4.980735582,,,
itsu Crispy Seaweed Thins Sweet Soy & Sea Salt 3x5g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/itsu-crispy-seaweed-thins-sweet-soy---sea-salt-3x5g,ï¿½2.00,ï¿½13.33 / 100g,23,2014,23,2014,481.3575526,4.778152929,ï¿½13.33 ,13.33, 100g,13.33,2,0.150037509,,72.22168831,3.450862716,,,27.69251241,,,
Gran Luchito Mexico Super Smoky Chipotle Salsa 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/gran-luchito-mexico-super-smoky-chipotle-salsa-300g,ï¿½2.65,88p / 100g,1.2g,105.1kJ,1.2,1,0.239005736,502.08,88p ,0.88, 100g,0.88,2.65,3.011363636,,0.719733183,3.613636364,,,3681.92,,,
Sainsbury's Lactose Free Greek Style Yogurt 450g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-lactose-free-greek-style-natural-450g,ï¿½1.00,22p / 100g,5.1g,448kJ,5.1,448,107.0745698,4.763035714,22p ,0.22, 100g,0.22,1,4.545454545,,486.70259,23.18181818,,,2.054642857,,,
ManiLife Deep Roast Smooth Peanut Butter 295g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/manilife-deep-roast-smooth-peanut-butter-295g,ï¿½3.75,ï¿½1.27 / 100g,28.9g,2541,28.9,2541,607.3135755,4.758661944,ï¿½1.27 ,1.27, 100g,1.27,3.75,2.952755906,,1793.248747,85.33464567,,,2.091176702,,,
Warburtons Premium Wholegrain & Oat Bread 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/warburtons-wholegrain---oats-loaf-400g,ï¿½1.60,40p / 100g,11.7g,1030kJ,11.7,1030,246.1759082,4.752699029,40p ,0.4, 100g,0.4,1.6,4,,984.7036329,46.8,,,1.624854369,,,
Sun-Pat Smooth Peanut Butter 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sun-pat-smooth-peanut-butter-400g,ï¿½2.50,63p / 100g,28g,2465kJ/595kcal,28,2465,589.1491396,4.752616633,63p ,0.63, 100g,0.63,2.5,3.968253968,,2337.893411,111.1111111,,,1.069338742,,,
Sun-Pat Crunchy Peanut Butter 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sun-pat-crunchy-peanut-butter-400g,ï¿½2.50,63p / 100g,28g,2468kJ/596kcal,28,2468,589.8661568,4.746839546,63p ,0.63, 100g,0.63,2.5,3.968253968,,2340.738717,111.1111111,,,1.068038898,,,
Naturya Organic Chia Seeds 175g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/naturya-organic-chia-seeds-175g,ï¿½3.00,ï¿½1.72 / 100g,20 g,1772 kJ,20,1772,423.5181644,4.72234763,ï¿½1.72 ,1.72, 100g,1.72,3,1.744186047,,738.6944729,34.88372093,,,4.061218962,,,
Plantopia Super Blend Oat & Chickpea Dairy Free Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plantopia-super-blend-oat-chickpea-1l,ï¿½1.50,ï¿½1.50 / ltr,1.9g,169 kJ,1.9,169,40.39196941,4.703905325,ï¿½1.50 ,1.5,ltr,0.15,4,26.66666667,,1077.119184,50.66666667,,,3.713609467,,,
Sainsbury's Strong Stoneground 100% Wholemeal Flour 1.5kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-strong-stoneground-100-wholemeal-flour-15kg,ï¿½1.10,73p / kg,15.9g,1417kJ,15.9,1417,338.6711281,4.694820042,73p ,0.73, kg,0.073,1.1,15.06849315,,5103.263574,239.5890411,,,0.215548342,,,
Marmite Houmous 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/marmite-houmous-200g,ï¿½1.50,75p / 100g,11.9g,1062kJ,11.9,1062,253.8240918,4.688286252,75p ,0.75, 100g,0.75,1.5,2,,507.6481836,23.8,,,2.95480226,,,
Sainsburyï¿½s Whole Almonds 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-whole-almonds-200g,ï¿½2.30,ï¿½1.15 / 100g,29.0g,2594kJ,29,2594,619.9808795,4.677563608,ï¿½1.15 ,1.15, 100g,1.15,2.3,2,,1239.961759,58,,,1.854895914,,,
Allinson The Champion Medium Sliced Wholemeal Bread 650g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/allinson-classic-wholemeal-bread-650g,ï¿½1.40,22p / 100g,11.0 g,986 kJ,11,986,235.6596558,4.667748479,22p ,0.22, 100g,0.22,1.4,6.363636364,,1499.652355,70,,,0.933549696,,,
Koko Dairy Free Unsweetened Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/koko-dairy-free-milk--unsweetened-1l,ï¿½1.60,ï¿½1.60 / ltr,0.7g,63kJ / 15kcal,0.7,63,15.05736138,4.648888889,ï¿½1.60 ,1.6, ltr,0.16,1.6,10,,150.5736138,7,,,10.62603175,,,
Sainsbury's Golden Linseed 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-golden-linseed-100g,90p,ï¿½9.00 / kg,23.9g,2154kJ,23.9,2154,514.8183556,4.642414113,ï¿½9.00 ,9, kg,0.9,0.9,1,,514.8183556,23.9,,,1.748189415,,,
Warburtons Wholemeal Soft Pittas x5,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/warburtons-wholemeal-soft-pittas-x5,ï¿½1.00,32p / 100g,11.5g,1037kJ,11.5,1037,247.8489484,4.639922854,32p ,0.32, 100g,0.32,1,3.125,,774.5279637,35.9375,,,1.291108968,,,
Kingsmill Thick Sliced Wholemeal Bread 800g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kingsmill-tasty-wholemeal-bread--thick-800g,95p,12p / 100g,10.8g,974kJ,10.8,974,232.791587,4.639342916,12p ,0.12, 100g,0.12,0.95,7.916666667,,1842.933397,85.5,,,0.515482546,,,
