Food,URL,ExtractedPrice,PricePerAmount,ExtractedProteinPer100g,ExtractedKJPer100g,ProteinPer100g,KJPer100g,CaloriesPer100g,ProteinPer100Calorie,PoundsPer (String),PoundsPer,PerAmount,PoundsPer100g,Price,MultiplesOf100g,perEach/per100g,TotalCalories,TotalProtein,RankWeighting,TimesEaten,PoundsPer1000Calorie,Checked,Available,Ignore
Linda McCartney Vegetarian Chorizo & Red Pepper Sausages x6 300g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/linda-mccartneys-vegetarian-chorizo---red-pepper-sausages-x6-300g,ï¿½2.20,ï¿½8.15 / kg,14.1g,662,14.1,662,158.2217973,8.911540785,ï¿½8.15 ,8.15, kg,0.815,2.2,2.699386503,,427.1017842,38.06134969,3,1,5.150996979,,,
Loma Linda Tuno Lemon Pepper 142g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/loma-linda-tuno-lemon-pepper-142g,ï¿½1.00,71p / 100g,9.3g,417,9.3,417,99.66539197,9.331223021,71p ,0.71, 100g,0.71,1,1.408450704,,140.3737915,13.09859155,,,7.12383693,,,
Good4U Salad Topper Lentil Sprout Mix 180g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/good-4-u-lentil---bean-shoots-180g,ï¿½1.50,83p / 100g,11.7g,535/128,11.7,535,127.8680688,9.150056075,83p ,0.83, 100g,0.83,1.5,1.807228916,,231.0868714,21.14457831,,,6.49106542,,,
Alpro Barista Soya Long Life Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alpro-barista-soya-uht-1l,ï¿½1.90,ï¿½1.90 / ltr,3.0 g,139 kJ / 33 kcal,3,139,33.22179732,9.030215827,ï¿½1.90 ,1.9, ltr,0.19,1.9,10,,332.2179732,30,,,5.719136691,,,
Alpro Soya Light Chilled Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alpro-light-chilled-soya-milk-alternative-1l,ï¿½1.20,ï¿½1.20 / ltr,2.0 g,93 kJ / 22 kcal,2,93,22.22753346,8.997849462,ï¿½1.20 ,1.2, ltr,0.12,1.2,10,,222.2753346,20,3,1,5.398709677,,,
Sainsbury's Edamame Beans 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-edamame-beans-500g,ï¿½2.00,ï¿½4.00 / kg,11.7g,547kJ,11.7,547,130.7361377,8.949323583,ï¿½4.00 ,4, kg,0.4,2,5,,653.6806883,58.5,,,3.059597806,,,
Quorn Vegan Turkish Kebab Style Strips 175g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/quorn-vegan-turkish-kebab-style-strips-175g,ï¿½3.00,ï¿½17.14 / kg,20g,936kJ,20,936,223.709369,8.94017094,ï¿½17.14 ,17.14, kg,1.714,3,1.750291715,,391.5566552,35.00583431,,,7.661726496,,,
Linda McCartney Quarter Pounder Burger x2 227g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/linda-mccartney-1-4lb-burger-227g,ï¿½2.20,ï¿½9.69 / kg,21.0g,1053,21,1053,251.6730402,8.344159544,ï¿½9.69 ,9.69, kg,0.969,2.2,2.270381837,1,571.3938992,47.67801858,3,1,3.850233618,,,
Ktc Red Kidney Beans 1kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ktc-red-kidney-beans-1kg,ï¿½2.25,23p / 100g,24g,1133 kJ,24,1133,270.793499,8.862842012,23p ,0.23, 100g,0.23,2.25,9.782608696,,2649.066838,234.7826087,,,0.849355693,,,1
Loma Linda Tuno Thai Sweet Chilli 142g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/loma-linda-tuno-thai-sweet-chilli-142g,ï¿½1.00,71p / 100g,10.1g,480,10.1,480,114.7227533,8.803833333,71p ,0.71, 100g,0.71,1,1.408450704,,161.5813427,14.22535211,,,6.188833333,,,
Richmond Meat Free Burgers x2 170g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/richmond-2-meat-free-burgers,ï¿½1.50,ï¿½8.82 / kg,15g,714kJ/171kcal,15,714,170.6500956,8.789915966,ï¿½8.82 ,8.82, kg,0.882,1.5,1.700680272,,290.221251,25.51020408,3,1,5.168470588,,,
Richmond Frozen Meat Free Vegan Burgers x4 280g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/richmond-frozen-meat-free-burgers-x4-280g,ï¿½2.50,ï¿½8.92 / kg,15g,714kJ/171kcal,15,714,170.6500956,8.789915966,ï¿½8.92 ,8.92, kg,0.892,2.5,2.802690583,,478.2794159,42.04035874,,,5.227070028,,,
